Fecha,Tarjeta de credito,Personal,Total
2011-04-01,25614051,3526516,45098562
2011-07-01,26517001,3835717,40392683
2011-10-01,27222004,4440317,42151783
2012-01-01,27430324,4794274,42913940
2012-04-01,24761064,5967477,41384837
2012-07-01,25572673,6466735,42970532
2012-10-01,25435375,7546376,43864333
2013-01-01,25490102,9462195,45880346
2013-04-01,26500489,10250301,48433644
2013-07-01,25821589,10883340,48427736
2013-10-01,26317415,11488167,49089721
2014-01-01,26338699,11858817,49100082
2014-04-01,27332775,11956399,50210092
2014-07-01,26649385,12035273,49551393
2014-10-01,27337136,11199247,50095438
2015-01-01,26805116,10986765,49096525
2015-04-01,27030817,10633251,49411172
2015-07-01,24457431,10675740,46380256
2015-10-01,24520645,10434506,47929706
2016-01-01,24859716,10344046,48208312
2016-04-01,25998946,10514180,49810188
2016-07-01,25963973,10749982,50237389
2016-10-01,26357943,11003002,50915682
2017-01-01,26499174,11006166,51019191
2017-04-01,26934731,11083884,51706646
2017-07-01,27076855,12332684,52409325
2017-10-01,26914878,13237307,52775552
2018-01-01,26895892,13500805,53096389
2018-04-01,27604688,13758450,53616119
2018-07-01,27654983,13945253,54236625
2018-10-01,27839544,14034432,54574428
2019-01-01,28007412,14058415,54732091
2019-04-01,28602169,14336579,56095046
2019-07-01,29044388,14450702,56967206
2019-10-01,29190534,13847230,56605341
2020-01-01,28738915,13671458,55933966
2020-04-01,28340972,10729857,52107978
2020-07-01,27568756,11070709,51472911
2020-10-01,27643910,11406894,52215892
2021-01-01,27927536,11465308,52710441
2021-04-01,27212479,11785591,52675317
2021-07-01,28431101,11920809,54296536
2021-10-01,28611176,12311037,55358488
2022-01-01,29043051,12365534,55727789
2022-04-01,29779094,12781967,57399597
2022-07-01,30874258,13024856,58874096
2022-10-01,31674049,12766397,59409530
2023-01-01,32558787,12702671,60290344
2023-04-01,33401283,12824517,61529335
2023-07-01,34027096,12990795,62553310
2023-10-01,34624189,13046304,63552698
2024-01-01,35130859,12922397,63946695
2024-04-01,35864282,13447940,65837760
