,series,t+1,t+2,t+3,t+4,t+5,t+6
0,rappi_entregas_black,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846
1,rappi_entregas_cincita,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846
2,rappi_entregas_onix,106.35,106.35,106.35,106.35,106.35,106.35
3,rappi_entregas_cincita_reemplazo,45.03846153846154,45.03846153846154,45.03846153846154,45.03846153846154,45.03846153846154,45.03846153846154
4,rappi_entregas_pride_2022,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347
5,rappi_entregas_mundial,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536
6,rappi_entregas_pride_hologlam,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619
7,rappi_entregas_pride_colors,168.04761904761904,168.04761904761904,182.47601911609033,168.04761904761904,168.04761904761904,168.04761904761904
8,rappi_entregas_cardlaveritas,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588
9,rappi_entregas_cardtrinas,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646
10,rappi_entregas_cardjolote,297.875,297.875,297.875,297.875,297.875,297.875
11,rappi_entregas_cardjolote_black,2464.625,2610.851724109814,2464.625,2464.625,2464.625,2464.625
12,rappi_entregas_ocean_plastic,2470.3076923076924,2470.3076923076924,2470.3076923076924,3048.0637115377067,3048.0637115377067,3009.0631133915754
13,rappi_entregas_playcard,1634.5833333333333,11608.276481946998,1794.9821083111883,1634.5833333333333,1634.5833333333333,1634.5833333333333
14,rappi_entregas_gotica,922.7,922.7,922.7,922.7,922.7,922.7
15,rappi_entregas_pride_2024,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667
16,rappi_entregas_minion_rayo,539.625,539.625,539.625,539.625,539.625,539.625
17,rappi_entregas_minion_mega,508.5,508.5,508.5,508.5,508.5,508.5
18,rappi_entregas_cardlaveritas_2024,1769.0,1769.0,1769.0,1769.0,1769.0,1769.0
