,series,degree,alpha,mse,mae,mase,smape,mase_horizon,reliability_80
0,rappi_entregas_black,2,0.01,6683513.574939622,2355.222210395209,0.9445447003790692,50.14721364549602,0.21831263594775907,0.14285714285714285
1,rappi_entregas_cincita,4,100.0,12327.97137759334,99.85970489723537,1.7832090160220602,112.79960732363787,0.5043419439254312,0.25
2,rappi_entregas_onix,7,0.01,0.42493311759812763,0.5507041622257441,0.008344002457965821,199.99999848999775,0.0022416723021400713,
3,rappi_entregas_cincita_reemplazo,1,100.0,1072.817521562379,30.31569587963038,1.2006216189952625,118.65803323221755,0.531854313677726,0.0
4,rappi_entregas_pride_2022,1,100.0,182.76792899203798,13.404995042795118,0.48677356300652663,185.0492728073885,0.4887237776019054,0.0
5,rappi_entregas_mundial,10,0.1,37772.232375549815,183.53898668901735,0.6390911397223673,179.0603697705721,0.41970955108396374,0.0
6,rappi_entregas_pride_hologlam,3,0.01,0.03477796315700245,0.13750416383496145,0.0007534474730682819,199.99999636800874,0.0002763506020226041,
7,rappi_entregas_pride_colors,2,0.1,1.0095848147247226,0.9022114280965923,0.010729967430286529,199.99999947276547,0.0033362282074358932,
8,rappi_entregas_cardlaveritas,4,0.01,18.184084544109712,2.4651374481700943,0.006992195724403041,145.3945017431832,0.0028465790394573837,0.0
9,rappi_entregas_cardtrinas,10,0.01,14.105144180675405,2.9756971287304053,0.02724442945938316,100.12787294798969,0.007641749174962521,0.25
10,rappi_entregas_cardjolote,2,0.01,73.39607142553652,7.411176643837075,0.06143980637377886,106.68984461039497,0.0330856100171298,0.25
11,rappi_entregas_cardjolote_black,5,10.0,1973062.0974732707,1043.1752995665495,0.3439559162730246,52.137221394310615,0.39570423881139855,0.2
12,rappi_entregas_ocean_plastic,6,0.1,680126.8092431636,622.9862134149339,0.8857623887416122,32.123583631534316,0.8786829526303722,0.5
13,rappi_entregas_playcard,10,100.0,697926.182497115,664.9271792010834,0.37057059959190974,101.07931890528403,1.0763693714303253,0.3333333333333333
14,rappi_entregas_gotica,2,0.01,488.4294814260391,22.016640888339833,0.04958702902779242,107.09312123363472,0.015183890267820575,0.0
15,rappi_entregas_pride_2024,3,10.0,6080.3515940471225,58.9533958545447,0.0688976188405275,162.2831887759806,0.023001715120774365,0.0
16,rappi_entregas_minion_rayo,8,10.0,997.8451386556363,23.601210448329113,0.1257613345381658,25.412195592908628,0.07206476472772248,0.5
17,rappi_entregas_minion_mega,1,1.0,30757.00466458972,145.9242381687855,0.41652969981575316,199.99999999753314,0.19639870547615815,0.0
18,rappi_entregas_cardlaveritas_2024,9,0.01,68185.47150445796,261.1234794200973,0.17619667977064593,143.0329705633326,0.17619667977064593,0.0
